task,regime,method,seed,run_id,total_runtime_s,train_round_s,client_train_mean_s,client_train_std_s,client_eval_round_s,server_eval_s
california_housing_mlp,iid,fedavg,1337,fnwf3920,1512.709865791956,37.13252794290893,0.1881802383677859,0.18044550648637148,36.50349559801398,0.06823088979581371
california_housing_mlp,iid,fedavg,1338,k8snz3ji,1571.465975745814,35.067451758426614,0.18531433368566555,0.1595238443366988,34.73393835419556,0.07233593724668026
california_housing_mlp,iid,fedavg,1339,yss976jq,1510.9604618330486,37.36310116001405,0.17712577183107903,0.16528089208880958,35.98457743184408,0.07021724309306591
california_housing_mlp,iid,heterofl,1337,jdjkltsl,1653.834750110051,36.844854713918174,0.1954769963441504,0.14696909982075024,36.63128780390834,0.07232163713779301
california_housing_mlp,iid,heterofl,1338,97z0ogzq,1512.8653585999273,36.959365093242376,0.16248609159941352,0.13864140381270038,36.52317169184098,0.06663727927953005
california_housing_mlp,iid,heterofl,1339,cyti2mx5,1438.9120130438823,35.122334460983986,0.1575260134149586,0.13171833449002424,34.58089301447617,0.07282795031787828
california_housing_mlp,iid,fedrolex,1337,qxlnfxpu,1667.0849604269024,36.90498187559424,0.1932754757442308,0.15762932228428556,36.782992414955515,0.0722316061379388
california_housing_mlp,iid,fedrolex,1338,kp7fjsgl,1513.986679147929,36.88549740423914,0.1612159356935313,0.14081210618066195,36.49494121132884,0.07248497225809843
california_housing_mlp,iid,fedrolex,1339,nj7tsv5o,1518.2859361059964,37.40417390963994,0.1809002910824274,0.1447371155003765,36.33360403544502,0.06993768813554198
california_housing_mlp,iid,fiarse,1337,dj71fc89,1669.8349792170338,37.49684977316065,0.2559893757392274,0.2517381029121382,36.26657212999417,0.07099171977024525
california_housing_mlp,iid,fiarse,1338,3aa8qxje,1525.501276764786,37.50395542178303,0.28594871486372425,0.2654793524939443,36.43979241605848,0.07295906459912657
california_housing_mlp,iid,fiarse,1339,urgz971e,1517.8265607559588,37.45464497170178,0.27468426985102534,0.2668367502725412,36.22090720341075,0.06564455383922904
california_housing_mlp,noniid,fedavg,1337,aud329ev,2266.556470242096,28.24054796825512,0.20386652376873826,0.16110021649540016,27.228049741260474,0.0733998111274559
california_housing_mlp,noniid,fedavg,1338,1n7h3zdf,2205.62928791414,28.28265014576027,0.18918736998704644,0.16977857667543259,24.403581126267092,0.0689199365143265
california_housing_mlp,noniid,fedavg,1339,r3j45xob,2186.9326366500463,23.597218889781896,0.18773880538744137,0.14611468703079813,28.8107798557356,0.07110164440902215
california_housing_mlp,noniid,heterofl,1337,5trnnxj2,2515.712997311959,30.048207266023383,0.1803328763358877,0.14147987102261328,28.098051102244064,0.068553866725415
california_housing_mlp,noniid,heterofl,1338,9uza2doa,2261.6496716160327,28.73982036676607,0.17550578510838724,0.13761643743030663,26.67677530759829,0.06611898220144212
california_housing_mlp,noniid,heterofl,1339,9l37ywze,2160.9222807250917,26.601427272026193,0.1722599224396028,0.12776181347883186,26.331064920552308,0.07281098308158107
california_housing_mlp,noniid,fedrolex,1337,tsh2vjv1,2337.611770529067,25.115479063260135,0.16181790040267513,0.12798818376401283,28.55683549050591,0.0717197741032578
california_housing_mlp,noniid,fedrolex,1338,jikxrtql,2104.7833866870496,24.498766386683563,0.16186408489351775,0.1266319142980171,26.98401023464976,0.06808029554667883
california_housing_mlp,noniid,fedrolex,1339,ptevhxdo,2296.256774042966,28.446696971013445,0.18265754592295233,0.14323541030423967,27.80585193413426,0.06786324748536572
california_housing_mlp,noniid,fiarse,1337,2iu154j5,2342.3412543791346,28.00714658725774,0.2857127487983962,0.24085443708776016,25.952848742803326,0.07146792329149321
california_housing_mlp,noniid,fiarse,1338,zf9dv3nf,2261.2416075950023,28.79254118956742,0.26985061852166914,0.2521737682055698,26.587725055695046,0.06686231042840518
california_housing_mlp,noniid,fiarse,1339,09teh2jn,2213.171229784144,28.08430309945252,0.2780955265149503,0.24103741079524882,26.210423984157387,0.06808908632956445
cifar10_cnn,iid,fedavg,1337,1zkfor5s,11744.488451782032,511.0252422912978,119.67152404679072,99.88538618048393,562.4943429918087,20.80484397044638
cifar10_cnn,iid,fedavg,1338,ft0s0pjm,17582.121051060967,785.7960880764992,138.26021527420184,154.0645407613634,62.88255043205572,21.130908213811928
cifar10_cnn,iid,fedavg,1339,9h4hr570,17465.55225897301,786.1023812814383,136.39732205585096,153.19741126538437,62.279615575762,20.900328362651635
cifar10_cnn,iid,heterofl,1337,gucmw04b,5853.8669257420115,209.8319282357639,52.87783818468976,32.72896002026592,256.9113702083647,21.706652175745695
cifar10_cnn,iid,heterofl,1338,369blbfa,7010.38525755913,271.4351348241209,62.19789491257012,54.82267962636447,51.10455672448734,21.531326798466033
cifar10_cnn,iid,heterofl,1339,p1b68rfp,7127.510786250001,277.2908355872496,63.743324741644905,54.58318357340438,50.89535457615275,21.294869674555958
cifar10_cnn,iid,fedrolex,1337,qv9ns7bf,7638.789540582919,300.17259246656323,61.11425223957614,51.08303624759253,349.0923729080707,22.809381760755787
cifar10_cnn,iid,fedrolex,1338,3moap2c9,7393.488945960067,275.42774779833854,63.6770849701947,50.52719007386006,48.256636738427915,22.64147609670181
cifar10_cnn,iid,fedrolex,1339,ppd09xho,6638.182153844973,243.4709063785849,61.46084973829435,43.926273920667356,48.05466811892111,22.375164290133398
cifar10_cnn,iid,fiarse,1337,8u3yzs3h,7431.708916679025,287.500782893243,48.6775380311528,47.73585923546928,339.3071859100543,21.244862415792888
cifar10_cnn,iid,fiarse,1338,epkcwli4,12935.028333973023,559.2288687500928,153.67320928990006,125.5103391731571,610.2820271721924,21.97525988065172
cifar10_cnn,iid,fiarse,1339,fn79oxwl,17184.780954043148,771.7845727253938,179.17376799367375,172.7649259623599,56.28946198836202,23.05685038341908
cifar10_cnn,noniid,fedavg,1337,hucmjiwu,19054.768562118057,409.5818660156889,122.8129051379611,110.9834434321132,450.1517573459656,22.405472970652045
cifar10_cnn,noniid,fedavg,1338,3enb2mhp,19356.998660339043,415.9285019738716,132.24467601476778,116.10535684529191,39.98971933789435,23.13490113556036
cifar10_cnn,noniid,fedavg,1339,oo34c156,16649.271561181173,351.6053915514145,121.53149625007798,94.24455475729755,40.16547577297315,22.765503483638167
cifar10_cnn,noniid,heterofl,1337,dqpa3l1l,8562.094145057956,148.27030676026772,46.93980372572332,32.17998213469056,186.9833077743271,21.76775023640075
cifar10_cnn,noniid,heterofl,1338,aw00uw2s,9617.19377827691,175.42538107653382,47.13051981182574,39.79366085739295,214.0474769085995,23.489352887362475
cifar10_cnn,noniid,heterofl,1339,1wwq4bnu,8571.07052300917,149.51713511206327,47.00497898034648,31.585149537783355,186.5391318058013,24.35386307464796
cifar10_cnn,noniid,fedrolex,1337,k5sau99r,7697.189916867996,131.72069028068216,40.662520474017114,27.8031947106927,165.49933947471146,21.53180222318624
cifar10_cnn,noniid,fedrolex,1338,0o4e5trn,8847.165377689991,158.92801166931167,45.82830736643327,35.199827932664505,193.83564890373964,23.736797674943226
cifar10_cnn,noniid,fedrolex,1339,mcx84zop,7758.938817705959,128.7411930719507,43.33772396299908,26.104399841914795,167.1739662366046,23.42486218906124
cifar10_cnn,noniid,fiarse,1337,0fkj0quv,20118.196984442067,437.6754181046184,134.22014858194615,124.42155881821245,473.63226932651014,22.841973417272676
cifar10_cnn,noniid,fiarse,1338,t1xizie2,23454.152567746816,521.9517302641528,150.70981360412992,148.55566782503143,559.6704038518598,22.196392123901752
cifar10_cnn,noniid,fiarse,1339,6ibt9sv7,20535.90538423811,441.95895975403835,135.92984223719967,124.21596861420414,483.85020165921304,21.70768080675625
