profile,method,buffer_size,seed,run_id,source,target_reached,target_client_trips,target_wall_clock_s,final_acc,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
none,fedavg,,1337,0ysztwpg,network_main,True,465,4337.9159391540015,0.603,750,4429.948925530996,,,,,0.16930217765661965
none,fedavg,,1338,kqc9pciy,network_main,True,330,3540.563414858989,0.6001,750,3773.3740700079943,,,,,0.19876110507072284
none,fedavg,,1339,5cari6u0,network_main,True,465,4250.2691552769975,0.6023,750,4483.500508152996,,,,,0.16728000780554542
none,fedbuff,10,1337,j81afai0,network_main,True,870,2353.767631171002,0.604,870,2375.430624786997,0.13908045977011493,0.10103729127661568,3.322314049586777,1.061415220293725,0.369620173409885
none,fedbuff,10,1338,kouohvbb,network_main,True,860,2280.902073723002,0.6,860,2302.252554659004,0.14883720930232558,0.11020934730285592,3.265625,1.0478142076502732,0.3770438064428891
none,fedbuff,10,1339,o7i4mdii,network_main,True,1010,2530.178753004991,0.6005,1010,2551.310537466983,0.15148514851485148,0.11123076379235876,3.2091503267973858,1.0548424737456243,0.39918128266647707
none,fedstaleweight,10,1337,wyc9rjxq,network_main,True,660,1806.368915264,0.6024,660,1827.323406495998,0.1393939393939394,0.29352799634146376,3.3043478260869565,1.0528169014084507,0.36537386932587984
none,fedstaleweight,10,1338,b0xxbbi7,network_main,True,570,1625.7033320400078,0.6057,570,1646.8499407849886,0.14736842105263157,0.29761843802023297,3.1785714285714284,1.0473251028806585,0.3506174766122535
none,fedstaleweight,10,1339,9qv2c0qb,network_main,True,670,1882.4259313690127,0.6054,670,1903.6784510060097,0.15223880597014924,0.3002080924520387,3.0392156862745097,1.0721830985915493,0.35592369868849816
none,fedasync,1,1337,u2awvlob,network_main,True,370,1230.945546379,0.6012,370,1252.064892069,0.12162162162162164,0.06767091736462533,37.666666666666664,10.236923076923077,0.30058193970351266
none,fedasync,1,1338,vnxrt39a,network_main,True,440,1388.0076740059994,0.6265,440,1409.3906998780003,0.12954545454545455,0.07635475629782304,35.96491228070175,10.355091383812011,0.3170011292013204
none,fedasync,1,1339,utho3iov,network_main,True,360,1172.4121792650003,0.6093,360,1193.809359461,0.1361111111111111,0.0805131230071251,34.3469387755102,10.389067524115756,0.3070592461993089
none,fedbuff,5,1337,f8r1yqsh,network_stressor_sweep,True,530,3499.900576688,0.6059,530,3521.168325573992,0.22830188679245284,0.1921133957255986,4.082644628099174,2.34718826405868,0.1514328731307978
none,fedbuff,5,1338,3sduvg0n,network_stressor_sweep,True,625,2817.830666690017,0.6094,625,2839.1052967279684,0.2144,0.17644085166710136,4.373134328358209,2.3034623217922605,0.22180183053162675
none,fedbuff,5,1339,w54p73te,network_stressor_sweep,True,605,2725.4689367759856,0.6027,605,2746.696130405995,0.2,0.15903058232482928,4.677685950413223,2.270661157024793,0.2219801487503531
none,fedstaleweight,5,1337,qjnt77fk,network_stressor_sweep,False,,,0.403,750,4813.142418627976,0.22266666666666668,0.3087785058422829,4.233532934131737,2.3430531732418527,0.1564943591920486
none,fedstaleweight,5,1338,hmg55ujk,network_stressor_sweep,True,500,2335.101633893002,0.6004,500,2356.0320752219995,0.186,0.2880758042386858,4.989247311827957,2.213759213759214,0.21412344231305128
none,fedstaleweight,5,1339,yk3uqpnh,network_stressor_sweep,True,685,3040.0029348089593,0.6126,685,3061.09476471995,0.20583941605839415,0.3022029312715961,4.524822695035461,2.295955882352941,0.2253287298365871
mild,fedavg,,1337,i6bntwqf,network_stressor_sweep,True,465,4442.112492362998,0.6023,750,4711.0509773299855,,,,,0.1592001452773637
mild,fedavg,,1338,cwvfb928,network_stressor_sweep,True,345,4194.867298855999,0.6017,750,4291.44729276502,,,,,0.17476621494674535
mild,fedavg,,1339,it7x8vfb,network_stressor_sweep,True,465,4222.026404505945,0.6006,750,4442.714092535025,,,,,0.16881572488767738
mild,fedbuff,10,1337,2p9z7l7w,network_stressor_sweep,True,830,4347.089553659025,0.6085,830,4368.573104896001,0.20843373493975903,0.175340902573881,2.2832369942196533,1.1385083713850837,0.19093234444672844
mild,fedbuff,10,1338,2rp6pb6m,network_stressor_sweep,True,850,4382.191653281974,0.6037,850,4403.762321294984,0.2105882352941177,0.179637949216551,2.2402234636871508,1.1445603576751118,0.1939668702904415
mild,fedbuff,10,1339,jlylrg17,network_stressor_sweep,True,1020,2744.4064082370023,0.6012,1020,2765.476713425014,0.15098039215686274,0.11319451063084622,3.0844155844155843,1.0773672055427252,0.3716650700634549
mild,fedstaleweight,10,1337,drf94he0,network_stressor_sweep,True,610,3202.370441421983,0.6012,610,3223.7988486879913,0.2114754098360656,0.3254118009120414,2.255813953488372,1.133056133056133,0.19048389658790857
mild,fedstaleweight,10,1338,v0bgwzwy,network_stressor_sweep,True,580,3079.707693278033,0.6021,580,3100.956492790021,0.2120689655172414,0.31606374004066623,2.16260162601626,1.1531728665207877,0.1883295616872813
mild,fedstaleweight,10,1339,vac832ee,network_stressor_sweep,True,660,1733.1292531969957,0.6073,660,1754.1687441259855,0.14242424242424245,0.31078262559880193,3.3404255319148937,1.0424028268551238,0.3808140672615958
mild,fedasync,1,1337,4i9ojhfv,network_stressor_sweep,True,300,939.0280603529828,0.6028,300,960.285463843,0.13,0.07450029446666326,35.58974358974359,10.25287356321839,0.31947927081883937
mild,fedasync,1,1338,uav55bjs,network_stressor_sweep,True,370,1123.3904361469904,0.6212,370,1144.5801109139866,0.13783783783783785,0.08624094568097336,32.78431372549019,10.448275862068966,0.32936011211652083
mild,fedasync,1,1339,9xh5eogp,network_stressor_sweep,True,410,1241.3069587759965,0.6412,410,1262.5273023409827,0.14390243902439023,0.08857897782396854,32.08474576271186,10.52136752136752,0.33029702854826876
mild,fedbuff,5,1337,job3dtrj,network_stressor_sweep,True,520,3405.003968901001,0.6025,520,3426.135067752999,0.225,0.18836080356292875,4.145299145299146,2.334987593052109,0.15271641523749388
mild,fedbuff,5,1338,2f3o3hry,network_stressor_sweep,True,630,2837.9872591800013,0.6051,630,2859.26677391,0.1873015873015873,0.1471644055229955,4.915254237288136,2.2421875,0.22198831159729385
mild,fedbuff,5,1339,amlbrdo2,network_stressor_sweep,True,635,2809.9840780759987,0.6017,635,2831.0182104730047,0.2125984251968504,0.17574494933220325,4.362962962962963,2.31,0.22597992812642043
mild,fedstaleweight,5,1337,3463t0ch,network_stressor_sweep,False,,,0.4888,750,4914.757789327996,0.2386666666666667,0.31672668710145485,3.9720670391061454,2.3852889667250436,0.15325747320632263
mild,fedstaleweight,5,1338,swto4jzv,network_stressor_sweep,True,650,2922.0195835039995,0.6377,650,2943.1891206479995,0.19230769230769232,0.29683602084609784,4.888,2.2476190476190476,0.22244888558225856
mild,fedstaleweight,5,1339,mypog92u,network_stressor_sweep,False,,,0.4792,750,3400.455389928,0.20266666666666663,0.2962324313658891,4.578947368421052,2.289297658862876,0.2219538272840137
med,fedavg,,1337,2hnjmyey,network_stressor_sweep,True,465,5074.522516954981,0.6029,750,5186.387356922991,,,,,0.14460932984476582
med,fedavg,,1338,uono0vnd,network_stressor_sweep,True,345,4190.0037668379955,0.6026,750,4286.419268739002,,,,,0.1749712179276943
med,fedavg,,1339,9u438lpm,network_stressor_sweep,True,465,4234.321093217004,0.6016,750,4341.871456716966,,,,,0.17273657395815675
med,fedbuff,10,1337,semxze1r,network_stressor_sweep,True,810,4164.67192761699,0.6086,810,4185.856450841005,0.20987654320987653,0.17660335041164857,2.276470588235294,1.1375,0.19449311112087503
med,fedbuff,10,1338,v2puht74,network_stressor_sweep,True,910,2385.174125794001,0.6013,910,2406.651430711001,0.13406593406593406,0.09631841960954102,3.5655737704918034,1.0380710659898478,0.3815235081409706
med,fedbuff,10,1339,9row2nir,network_stressor_sweep,True,1050,2806.5259983879514,0.6014,1050,2827.9705748729757,0.14285714285714285,0.10424470431034956,3.2933333333333334,1.0622222222222222,0.3741280147068342
med,fedstaleweight,10,1337,6f88023u,network_stressor_sweep,True,580,3040.0436531689775,0.6012,580,3061.0324273509905,0.2103448275862069,0.3196758573013638,2.262295081967213,1.1310043668122272,0.19078673406396685
med,fedstaleweight,10,1338,kxsizy6s,network_stressor_sweep,True,580,1531.233778894999,0.6042,580,1552.7241933860023,0.13620689655172413,0.30615345534416427,3.4936708860759493,1.0279441117764472,0.3787795227574928
med,fedstaleweight,10,1339,ad644r8t,network_stressor_sweep,True,700,1894.4835673290072,0.6094,700,1915.725371920038,0.14285714285714285,0.30020747698539624,3.23,1.0566666666666666,0.36949383571952293
med,fedasync,1,1337,mqwl7xe7,network_stressor_sweep,True,360,1752.3970228379767,0.6165,360,1773.8500590369804,0.12222222222222222,0.06814545978136198,37.06818181818182,10.2373417721519,0.20543289865728384
med,fedasync,1,1338,ze2sanxk,network_stressor_sweep,True,340,1088.028557570011,0.6003,340,1109.336228961998,0.1411764705882353,0.08901561179909992,32.145833333333336,10.445205479452056,0.3124917977882416
med,fedasync,1,1339,qnf7kd7u,network_stressor_sweep,True,380,1183.5365007120126,0.6129,380,1204.7542052429926,0.14473684210526316,0.08740132414179808,32.67272727272727,10.483076923076924,0.3210716355358647
med,fedbuff,5,1337,57crpvxi,network_stressor_sweep,True,580,3752.5628831789945,0.601,580,3773.290029759985,0.2275862068965517,0.19208509264996454,4.083333333333333,2.361607142857143,0.1545610341667749
med,fedbuff,5,1338,8wcprmti,network_stressor_sweep,True,595,2669.7311551109997,0.6022,595,2690.877497428999,0.1865546218487395,0.14686670570209898,4.936936936936937,2.2334710743801653,0.22286888283148557
med,fedbuff,5,1339,hyngttge,network_stressor_sweep,True,635,2830.356221328999,0.6079,635,2851.697617179001,0.2110236220472441,0.17344239520123753,4.440298507462686,2.2994011976047903,0.22435338534943655
med,fedstaleweight,5,1337,navnxljy,network_stressor_sweep,False,,,0.4507,750,4781.0386008679925,0.23066666666666663,0.31274637631030816,4.08092485549133,2.369150779896014,0.15756464622867652
med,fedstaleweight,5,1338,kaszfg39,network_stressor_sweep,True,575,2629.688333446,0.6085,575,2650.552827643,0.18434782608695652,0.280782805134153,4.952830188679245,2.230277185501066,0.2186570905330472
med,fedstaleweight,5,1339,uq7g352u,network_stressor_sweep,False,,,0.5367,750,3333.8176530179917,0.208,0.3004888666853804,4.519230769230769,2.2946127946127945,0.22639457105835564
asym_up,fedavg,,1337,7pgojwmx,network_stressor_sweep,True,450,4951.377391467016,0.6,750,5047.6513842069835,,,,,0.14858395378622796
asym_up,fedavg,,1338,h2maq496,network_stressor_sweep,True,345,3701.5257528939983,0.6018,750,3794.777291930004,,,,,0.19764005692638523
asym_up,fedavg,,1339,gaf7v914,network_stressor_sweep,True,465,4233.19326589501,0.6022,750,4325.2105869909865,,,,,0.17340196157287427
asym_up,fedbuff,10,1337,37qs4r8b,network_stressor_sweep,True,880,4578.345589631994,0.6031,880,4599.493060854991,0.2102272727272727,0.1768119463621131,2.2864864864864867,1.1381294964028776,0.19220916874270608
asym_up,fedbuff,10,1338,dbzckv0t,network_stressor_sweep,True,940,2453.9544776569983,0.6022,940,2475.5554699020013,0.13404255319148936,0.0968611661522413,3.5396825396825395,1.038083538083538,0.38305519053372944
asym_up,fedbuff,10,1339,r5nbqadg,network_stressor_sweep,True,1060,2885.166818318015,0.6002,1060,2906.33414049301,0.14056603773584905,0.10242777439195201,3.302013422818792,1.0647639956092203,0.3673964338110457
asym_up,fedstaleweight,10,1337,jxdfszfk,network_stressor_sweep,True,620,3293.197473084001,0.6002,620,3314.22872251799,0.20806451612903223,0.3263646988768076,2.294573643410853,1.1262729124236253,0.1882668759062859
asym_up,fedstaleweight,10,1338,eoqfxo3e,network_stressor_sweep,True,560,1494.5154073490012,0.6018,560,1515.726105062,0.1357142857142857,0.2966038390057043,3.539473684210526,1.0268595041322317,0.3747033969983208
asym_up,fedstaleweight,10,1339,x6o18ysg,network_stressor_sweep,True,670,1749.8999334940454,0.6008,670,1771.036734583031,0.13582089552238805,0.30838509301438477,3.4505494505494507,1.0431778929188256,0.38287903620991814
asym_up,fedasync,1,1337,ovcslo9c,network_stressor_sweep,True,410,1220.2239116170094,0.6284,410,1241.2538004130183,0.12682926829268293,0.07234393479042604,36.63461538461539,10.31564245810056,0.3360039055919487
asym_up,fedasync,1,1338,pkqxtk2l,network_stressor_sweep,True,400,1193.9234365420125,0.6015,400,1215.3983774090011,0.1425,0.08994466314430324,32.12280701754386,10.50145772594752,0.3350298584962274
asym_up,fedasync,1,1339,ft3rf5tt,network_stressor_sweep,True,330,1010.0418312170076,0.6052,330,1031.1760237879937,0.1393939393939394,0.08435780061363612,32.869565217391305,10.450704225352112,0.3267191415254359
asym_up,fedbuff,5,1337,6z31wp5b,network_stressor_sweep,True,500,3261.1403503309994,0.6009,500,3282.4344165600196,0.23,0.19248047229202211,4.147826086956521,2.327272727272727,0.15332060147281026
asym_up,fedbuff,5,1338,9oynevgp,network_stressor_sweep,True,610,5131.16966977001,0.6042,610,5170.6041366360005,0.2114754098360656,0.17462733931432015,4.403100775193798,2.3056133056133055,0.11888127644536484
asym_up,fedbuff,5,1339,cyjv02fg,network_stressor_sweep,True,635,2842.8403273949953,0.6074,635,2864.1842907539976,0.2062992125984252,0.16574029082467584,4.580152671755725,2.2757936507936507,0.22336815539051927
asym_up,fedstaleweight,5,1337,e47c5qwj,network_stressor_sweep,False,,,0.3958,750,4883.664058681985,0.228,0.3090946142780509,4.128654970760234,2.3575129533678756,0.15424493975980713
asym_up,fedstaleweight,5,1338,4mw359io,network_stressor_sweep,False,,,0.3944,750,5730.176031975992,0.20533333333333337,0.30776428297651165,4.577922077922078,2.290268456375839,0.131368827506521
asym_up,fedstaleweight,5,1339,lmmteiiu,network_stressor_sweep,True,705,3125.249561814009,0.6058,705,3146.3046776970004,0.20709219858156028,0.30163828253074526,4.52054794520548,2.298747763864043,0.22558198507219124
asym_down,fedavg,,1337,gbw5a7sh,network_stressor_sweep,True,465,5123.148525673983,0.6011,750,5216.514097959996,,,,,0.14377417292772196
asym_down,fedavg,,1338,o8ag40uf,network_stressor_sweep,True,345,3693.091363218031,0.6028,750,3898.5210121030104,,,,,0.19238064837193772
asym_down,fedavg,,1339,t3476rog,network_stressor_sweep,True,465,4236.638267892995,0.6016,750,4328.411110198998,,,,,0.17327374431527112
asym_down,fedbuff,10,1337,d4yqs2yc,network_stressor_sweep,True,870,4456.458964512014,0.6074,870,4477.630139790999,0.2114942528735632,0.17761926604221823,2.2880434782608696,1.1341107871720115,0.19522226209823648
asym_down,fedbuff,10,1338,g9425e0q,network_stressor_sweep,True,880,2306.90259949601,0.6029,880,2327.7446894050227,0.14886363636363636,0.11152907513855613,3.183206106870229,1.0574098798397864,0.3814638728970412
asym_down,fedbuff,10,1339,dtrmq5g2,network_stressor_sweep,True,990,2611.9388381789904,0.6013,990,2633.165994543,0.1383838383838384,0.09950385429248026,3.416058394160584,1.0515826494724505,0.3790287833424978
asym_down,fedstaleweight,10,1337,624a37a2,network_stressor_sweep,True,680,3573.9290550099977,0.6006,680,3595.3735283419956,0.21029411764705885,0.3215985834378996,2.2587412587412588,1.1359404096834265,0.19026678748610407
asym_down,fedstaleweight,10,1338,dyf59phl,network_stressor_sweep,True,640,1699.9788815320353,0.6098,640,1721.2054363810455,0.1453125,0.30178494628705044,3.2688172043010755,1.0475319926873858,0.37647526504754375
asym_down,fedstaleweight,10,1339,tqp9k6p8,network_stressor_sweep,True,680,1770.133246190031,0.6011,680,1791.2991503530066,0.13823529411764707,0.3073862659098732,3.4468085106382977,1.0375426621160408,0.3841518718794795
asym_down,fedasync,1,1337,wvdkhrx3,network_stressor_sweep,True,440,1316.3272510879906,0.616,440,1337.5020959590038,0.12727272727272726,0.072402412799817,36.67857142857143,10.302083333333334,0.33426338293636676
asym_down,fedasync,1,1338,790dh1t2,network_stressor_sweep,True,330,1013.6233149050096,0.6007,330,1034.8134528590017,0.13636363636363635,0.08479378768894308,33.044444444444444,10.382456140350875,0.32556472917251866
asym_down,fedasync,1,1339,com619x6,network_stressor_sweep,True,410,1189.1411423560055,0.6401,410,1210.1369267840057,0.13658536585365855,0.08210718837721995,33.94642857142857,10.44632768361582,0.3447866576945447
asym_down,fedbuff,5,1337,dog9c4pg,network_stressor_sweep,True,515,3385.104555748985,0.6064,515,3406.218716253002,0.22718446601941747,0.19041266313835042,4.128205128205129,2.341708542713568,0.152137102863002
asym_down,fedbuff,5,1338,8q2fjcf9,network_stressor_sweep,True,505,2301.5999837800045,0.6044,505,2322.808281455,0.18811881188118812,0.14703054230544826,4.936842105263158,2.234146341463415,0.21941258409752828
asym_down,fedbuff,5,1339,5cjtc1sn,network_stressor_sweep,True,645,2912.994110412008,0.6008,645,2934.352645580002,0.2062015503875969,0.16820727159528276,4.473684210526316,2.30078125,0.22142166291876655
asym_down,fedstaleweight,5,1337,r9kmeurg,network_stressor_sweep,False,,,0.4824,750,4886.965557385993,0.22933333333333333,0.312278847829157,4.145348837209302,2.35121107266436,0.1541348186848275
asym_down,fedstaleweight,5,1338,f2p823gf,network_stressor_sweep,False,,,0.5546,750,3337.428930715003,0.196,0.29408561491703217,4.782312925170068,2.263681592039801,0.2261395130357876
asym_down,fedstaleweight,5,1339,ozqrol1r,network_stressor_sweep,True,580,2575.539978476998,0.606,580,2596.912619306997,0.20344827586206896,0.2997408038734781,4.610169491525424,2.272727272727273,0.22519549486588564
